doc_section;SKU
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
   Descarca aplicatia pentru mobil DMSS - iOS
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div></div></div>";KIT16EXT30IRDAH
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div></div></div>";SAF-4X5MLEDACC-2TB
;KITIP-8X-2MP2830
;KITIP-4X-8MP2830POE
;KITPOE8MPEXT-2
;KIT8FHDEXT
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mcu.guardingvision"" target=""_blank"">
  Descarca aplicatia Guarding Vision pentru Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/guarding-vision/id1101697283"" target=""_blank"">
  Descarca aplicatia Guarding Vision pentru iOS (iPhone)
</a></div></div></div>";KIT-8SAFPRO8X4KACC
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div></div></div>";KITPOEFHDEXT30
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div></div></div>";KIT8FHDMIXT
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/manual_utilizare_DAHUAXVRUSER.pdf"" target=""_blank"">
  Manual de utilizare DVR in limba Romana 
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_DVR_Safer_SAF-8X-4K.pdf"" target=""_blank"">
  Fisa tehnica DVR Safer
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_pentru_camera_de_supraveghere_SAF-PRO-BM2MP40F28.pdf"" target=""_blank"">
  Fisa tehnica pentru camera SAF-PRO-BM2MP40F28
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mcu.guardingvision"" target=""_blank"">
  Descarca aplicatia Guarding Vision pentru Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/guarding-vision/id1101697283"" target=""_blank"">
  Descarca aplicatia Guarding Vision pentru iOS (iPhone)
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_SAF-DP2MP20F28-A-LED.pdf"" target=""_blank"">
  Fisa tehnica SAF-DP2MP20F28-A-LED
</a></div></div></div>";SAF16XFHDMIXT5MP
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><!--  --></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
   Descarca aplicatia pentru mobil DMSS - Android
</a></div></div></div>";KIT8C2MPEXT-I3
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div></div></div>";KIT4DH8MPEXT-TW
;KIT2MPINT20-DAH-I2
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_pentru_camera_de_supraveghere_Safer_SAF-PRO-BM5MP40MTZ_1.pdf"" target=""_blank"">
  Fisa tehnica pentru Safer SAF-PRO-BM5MP40MTZ
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/fisa-tehnica-dvr-DS-7104HUHI-K1_S_.pdf"" target=""_blank"">
  Fisa tehnica DS-7104HUHI-K1(S)
</a></div></div></div>";SAF-4X-5MPIR62ACC-2TB
;KITSAF-8X-5MPL40
;KITSAF8X-5MP80F36-A
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
   Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div><div><!--  --></div></div></div>";KIT-4BD8MPPEXT-TW
;KITHIK-8X-5MP36IR80
;KITIP-4X-2MP2860POE
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><!--  --></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
   Descarca aplicatia pentru mobil DMSS - Android
</a></div></div></div>";KIT-DAH-2MP-30-I3-COMPLET
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mcu.guardingvision"" target=""_blank"">
  Descarca aplicatia Guarding Vision pentru Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/guarding-vision/id1101697283"" target=""_blank"">
  Descarca aplicatia Guarding Vision pentru iOS (iPhone)
</a></div></div></div>";KIT8EFHD-8SAF
;SAF-4XNVRSP2MPMIX-2
;KITPOE4MPEXT-2
;KITSAF8X-5MP80F36-A-ACC
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.app.phone.mobileez4view&hl=ro&gl=US"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (ANDROID)
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/guard-viewer/id1026746566"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (APPLE)
</a></div></div></div>";KITNVR4CAM2K
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div></div></div>";KITIP5MP8M-S
;KITPOE2MPINT-2
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><!--  --></div><div><!--  --></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/GuardStation_Win64-B1130.3.6.0.L08_IN_.zip"" target=""_blank"">
  Guard Station - App pentru Windows x64
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/GuardStation_Win32-B1130.3.2.0_IN_.zip"" target=""_blank"">
  Guard Station - App pentru Windows x32
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/GuardStation_Mac-B1113.3.2.1_IN_.zip"" target=""_blank"">
  Guard Station app –  Mac OS
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/GuardTool_1103-B0011P05_IN_.zip"" target=""_blank"">
  Guard Tool Utility Software
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Guard_Player-B1111.1.1.0_IN_.zip"" target=""_blank"">
  Guard Player
</a></div></div></div>";SAF-4XNVRSP4MP-Z-52
;KIT4INT2K-VAR
;KIT4X2MPEXT80-SAF-I2
;KIT-DAH-2MP30I3-COMPLET
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mcu.guardingvision"" target=""_blank"">
  Descarca aplicatia Guarding Vision pentru Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/guarding-vision/id1101697283"" target=""_blank"">
  Descarca aplicatia Guarding Vision pentru iOS (iPhone)
</a></div></div></div>";KIT-8SAFPRO8X4K
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/guard-viewer/id1026746566"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (APPLE)
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.app.phone.mobileez4view&hl=ro&gl=US"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (ANDROID)
</a></div><div><a class=""no-underline"" href=""https://a2t.ro/source/GuardStation_Win64-B1130.3.6.0.L08_IN_.zip"" target=""_blank"">
  Guard Station - App pentru Windows x64
</a></div><div><a class=""no-underline"" href=""https://a2t.ro/source/GuardStation_Win32-B1130.3.2.0_IN_.zip"" target=""_blank"">
  Guard Station - App pentru Windows x32
</a></div><div><a class=""no-underline"" href=""https://a2t.ro/source/GuardStation_Mac-B1113.3.2.1_IN_.zip"" target=""_blank"">
  Guard Station app – Mac OS
</a></div><div><a class=""no-underline"" href=""https://a2t.ro/source/GuardTool_1103-B0011P05_IN_.zip"" target=""_blank"">
  Guard Tool Utility Software
</a></div><div><a class=""no-underline"" href=""https://a2t.ro/source/Guard_Player-B1111.1.1.0_IN_.zip"" target=""_blank"">
  Guard Player
</a></div></div></div>";KITSAF4MPEXT
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div></div></div>";DH-4E52-2TB-S-TW
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div></div></div>";KITSAF-8X-8MP28I20-HDD
;KITIP-4X-2MP2830POEHDD
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/guard-viewer/id1026746566"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (APPLE)
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.app.phone.mobileez4view&hl=ro&gl=US"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (ANDROID)
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/SAF-NVR4-6MP-4POE_2.pdf"" target=""_blank"">
  Fisa Tehnica  SAF-NVR4-6MP-4POE
</a></div></div></div>";SAF-4X2MPINT-POE-ST
;KITIP-4X-4MP2830POEHDD
;KITSAF-4X-5MPL40-ACCHDD
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia DMSS - iOS
</a></div></div></div>";KITDAH5MP40EXTACC-2TBW
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
   Descarca aplicatia pentru mobil DMSS - iOS
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
   Descarca aplicatia pentru mobil DMSS - Android
</a></div></div></div>";KIT-DAH-5MP-30-I3-COMPLET
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
   Descarca aplicatia pentru mobil DMSS - Android
</a></div></div></div>";KITPOEFHDEXT
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div></div></div>";KITSAF-4X-5MP28IL40ACCHDD
;
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div></div></div>";DAH-4X5MLED
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
   Descarca aplicatia pentru mobil DMSS - iOS
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
   Descarca aplicatia pentru mobil DMSS - Android
</a></div></div></div>";KIT4MIXT30DAH
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
   Descarca aplicatia pentru mobil DMSS - iOS
</a></div></div></div>";KIT-8CAMDVRI3
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.app.phone.mobileez4view&hl=ro&gl=US"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (ANDROID)
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/guard-viewer/id1026746566"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (APPLE)
</a></div></div></div>";KITPOE2MPMIXT
;KITIP-4X-4MP2830POE
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/ManualSAFERXVR.pdf"" target=""_blank"">
  Manual de utilizare DVR SAFER
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/DECLARATIE_DE_CONFORMITATE_DVR.pdf"" target=""_blank"">
  Declaratie conformitate DVR Safer
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
   Descarca aplicatia pentru mobil DMSS - iOS
</a></div></div></div>";KIT8FHDE
;KIT-SAF-2MP-30-I3-COMPLET
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div></div></div>";KIT4EXTDH8MP-WD
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div></div></div>";KIT8MP4IR80-1
;KITIPDHSAFFHD-ACC-HDD
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div></div></div>";KIT16AHDEXTHD
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div></div></div>";KIT4CAM2KDH
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div></div></div>";KITSAF-4X-5MP28IL40
